country,lng,lat
Malawi,34.2893585,-13.2180697
Malaysia,109.6976155,3.78987255
Maldives,73.45711081,3.72854733
Mali,-3.54268794,17.34581461
Malta,14.40522042,35.92151315
Marshall Islands,170.3396364,7.00352799
Mauritania,-10.3477974,20.25736926
Mauritius,57.57120758,-20.2777156
Mexico,-102.5234504,23.94753932
Moldova,28.45673742,47.19499323
Monaco,7.40628055,43.75276115
Mongolia,103.0529965,46.82681435
Montenegro,19.2388382,42.7889115
Montserrat,-62.18519807,16.73941361
Morocco,-8.45616045,29.83762793
Mozambique,35.53367351,-17.27381898
Myanmar,96.48843207,21.18566514
Namibia,17.20962769,-22.13030791
Nauru,166.9325852,-0.51914199
Nepal,83.9158367,28.24891362
Netherlands,5.2814735,52.10080804
New Caledonia,165.6849208,-21.29990206
New Zealand,171.4849539,-41.81112825
Nicaragua,-85.03052894,12.84709633
Niger,9.38546454,17.41912605
Nigeria,8.08944243,9.59411807
Niue,-169.8699537,-19.0494623
Norfolk Island,167.949202,-29.05143845
North Korea,127.1924781,40.15350291
Northern Cyprus,33.5684401,35.2627605
Northern Mariana Islands,145.6196188,15.82873009
Norway,15.34832968,68.75014407
Oman,56.09165967,20.60515412
Pakistan,69.33958027,29.94975221
Palau,134.4082215,7.28760993
Panama,-80.11915152,8.5175119
Papua New Guinea,145.2074492,-6.46416276
Paraguay,-58.40014084,-23.22823896
Peru,-74.38242889,-9.15280281
Philippines,122.8839215,11.77539737
Pitcairn Islands,-128.3170409,-24.36498595
Poland,19.39011841,52.12759537
Portugal,-8.50105506,39.59550247
Puerto Rico,-66.47307314,18.22812711
Qatar,51.18478512,25.30600936
Republic of Serbia,20.78958121,44.22150308
Republic of the Congo,15.21965722,-0.83788172
Romania,24.97293286,45.85242939
Russia,96.68657347,61.98052168
Rwanda,29.91989113,-1.99033199
Saint Barthelemy,-62.84068712,17.89881045
Saint Helena,-9.54768684,-12.40367621
Saint Kitts and Nevis,-62.68754242,17.26458594
Saint Lucia,-60.96969329,13.8947837
Saint Martin,-63.05971623,18.08889331
Saint Pierre and Miquelon,-56.30319339,46.91919986
Saint Vincent and the Grenadines,-61.20129438,13.22471841
Samoa,-172.1648148,-13.75327339
San Marino,12.45923029,43.94186939
Sao Tome and Principe,6.72429635,0.44390851
Saudi Arabia,44.53687041,24.12245467
Senegal,-14.47348904,14.36624381
Seychelles,55.47601997,-4.66097821
Siachen Glacier,77.18011287,35.39236619
Sierra Leone,-11.79271209,8.56329069
Singapore,103.8172532,1.35877066
Sint Maarten,-63.05713283,18.05081813
Slovakia,19.47905212,48.70547175
Slovenia,14.8044464,46.11555444
Solomon Islands,159.6328471,-8.92175696
Somalia,45.70716243,4.75065195
Somaliland,46.2519833,9.73345795
South Africa,25.08388384,-29.0003377
South Georgia and South Sandwich Islands,-36.43320448,-54.46487151
South Korea,127.8391693,36.3852463
South Sudan,30.24790056,7.30877585
Spain,-3.64754874,40.24448626
Sri Lanka,80.70107795,7.61266309
Sudan,29.94047226,15.99035431
Suriname,-55.91234833,4.13055377
Swaziland,31.48193159,-26.55842734
Sweden,16.74371219,62.79232016
Switzerland,8.20866006,46.79785296
Syria,38.50787939,35.02547248
Taiwan,120.9542726,23.75400343
Tajikistan,71.01363312,38.53045125
Thailand,101.0028835,15.11816347
The Bahamas,-76.62835738,24.29031222
Togo,0.96232118,8.52529798
Tonga,-174.8097544,-20.42814141
Trinidad and Tobago,-61.26565805,10.45735757
Tunisia,9.55288287,34.11956663
Turkey,35.16895529,39.06160342
Turkmenistan,59.37099935,39.11554017
Turks and Caicos Islands,-71.97385725,21.83047424
Tuvalu,178.5198949,-7.76005828
Uganda,32.36907536,1.27469024
Ukraine,31.38325794,48.99656784
United Arab Emirates,54.30015737,23.90527175
United Republic of Tanzania,34.81310214,-6.27565815
United States,-112.4616706,45.67955203
United States Virgin Islands,-64.80300497,17.95501398
Uruguay,-56.01806795,-32.79951982
Uzbekistan,63.14001799,41.75554081
Vanuatu,167.6863674,-16.22630588
Vatican,12.43386255,41.90174097
Venezuela,-66.18184085,7.12422395
Vietnam,106.2991386,16.64601451
Wallis and Futuna,-177.3481331,-13.88724988
West Bank,35.24782134,31.94798033
Western Sahara,-12.2198297,24.22956358
Yemen,47.58676005,15.90927655
Zambia,27.77475082,-13.45824537
Zimbabwe,29.85145031,-19.00420587
